"title";"abstract";"cleaned_year";"author";"source";"link"
"Virtual Palpation for Medical Training in Cyberworlds";"In this paper, we introduce a new approach to virtual palpation for medical training in cyber worlds. We analyze palpation as a medical procedure. Then, we survey the existing virtual palpation projects, which use haptic devices, and propose a new image-driven approach to haptic palpation that can be easily ported to any web-enabled and collaborative environments. We also introduce variable haptic interaction point that allows us to implement multiple-point haptic interaction while using a single-point desktop haptic device. Lastly, we prove our hypothesis by implementing the proposed approach for abdominal palpation and validating it with medical practitioners. We also discuss the advantages of our method over other existing works in terms of flexibility, simplicity and scalability.";"2012";"Yasmin, Shamima and Sourin, Alexei";"2012 International Conference on Cyberworlds";"https://doi.org/10.1109/CW.2012.36"
"Does vibrotactile intercommunication increase collaboration?";"Communication is a fundamental process in collaborative work. In natural conditions, communication between team members is multimodal. This allows for redundancy, adaptation to different contexts, and different levels of focus. In collaborative virtual environments, however, hardware limitations and lack of appropriate interaction metaphors reduce the amount of collaboration. In this poster, we propose the design and use of a vibrotactile language to improve user intercommunication in CVE and, consequently, to increase the amount of effective collaboration.";"2015";"V. A. d. J. Oliveira and W. J. Sarmiento and A. Maciel and L. Nedel and C. A. Collazos";"2015 IEEE Virtual Reality (VR)";"https://doi.org/10.1109/VR.2015.7223391"
"Multi-User Networked Interactive Augmented Reality Card Game";"Many efforts to improve interaction in virtual and augmented reality applications do so by including tactile elements to create a link between virtual objects and actions. It is also important to add collaboration, expanding single user interaction to networked user to user interaction. In this paper, we describe a networked virtual card game for multiple users based on a collaborative virtual environment. This game is a networked augmented reality game that uses an inexpensive tangible card flipping device allowing the system to be used in homes, museums, schools. The game is easy to set up and capable of hosting several remote users in a distributed system. We constructed two card flipping devices so we can show complete experimental results with two computers and their corresponding hardware interfaces";"2006";"Díaz, Marissa and Alencastre-Miranda, Moisés and Muñoz-Gómez, Lourdes and Goldberg, Isaac";"2006 International Conference on Cyberworlds";"https://doi.org/10.1109/CW.2006.29"
"Evaluation of a low cost piezorresistive material for high resolution tactile sensors";"Tactile sensors are basically arrays of pressure sensors that provide tactile images. They are demanded in applications where unstructured environments or uncertainty are present like minimal invasive surgery, robotics, rehabilitation, virtual reality, telepresence, or industrial automation. Although there are implementations of tactile sensors based on piezoelectric materials, on capacitive transduction, or on optical principles, most are based on piezorresistive materials. The reason is that they allow the fabrication of flexible sensors with a large area, as required for applications oriented to manipulative tasks with grippers or hands of robots. However, piezorresistive tactile sensors in the market (Tekscan , Peratech, Interlink Electronics) are built with expensive materials. For instance, the Tekscan technology uses a silver conductive ink on a plastic substrate plus a pressure sensitive material and the technology of Peratech uses polymers doped with particles of silver as an electroactive material. CIDETEC, has recently developed a flexible plastic sensor from conductive polymers (in cooperation with IKERLAN) based on the use of conductive polymer inks as active material. The policonjugated structure of these materials is not able to drive any electrical current itself, but the oxidized polymer can. The spin-coating of flexible plastic films of polietilentereftalato (PET) with these conductive inks results in a flexible conductive film on flexible plastic substrates. A low resolution sensor with 1cm interspacing has been built with this technology and successfully applied in the automotive sector. This material is aimed to be used now to build high resolution tactile sensors for robotics. Different questions arise since the area of the electrodes is much smaller and they are much closer to each other. This paper evaluates the performance of a tactile sensor that consists of an array of 16 x 16 electrodes with 2.54mm of interspacing that is covered with this smart material.";"2008";"J. Castellanos and R. Navas-Gonzalez and E. Ochoteco and F. Vidal-Verdu";"2nd European Conference & Exhibition on Integration Issues of Miniaturized Systems - MOMS, MOEMS, ICS and Electronic Components";NA
"DigiTable: an interactive multiuser table for collocated and remote collaboration enabling remote gesture visualization";"We present DlGlTABLE, an experimental platform we hope lessen the gap between co-present and distant interaction. DlGlTABLE is combining a multiuser tactile interactive tabletop, a video-communication system enabling eye-contact with real size distant user visualization and a spatialized sound system for speech transmission. Based on a robust computer vision module, it provides a fluid gesture visualization of each distant participant whether he/she is moving virtual digital objects or is intending to do so. Remote gesture visualization contributes to the efficiency of distant collaboration tasks because it enables the coordination among participant's actions and talk. Our main contribution addresses the development and the integration of robust and real time projector-camera processing techniques in computer supported cooperative work.";"2007";"Coldefy, François and Louis-dit-Picard, Stphane";"2007 IEEE Conference on Computer Vision and Pattern Recognition";"https://doi.org/10.1109/CVPR.2007.383471"
"Real-Time Medical Training in Virtual Reality over 5G Open RAN: A Performance Study";"The convergence of immersive technologies and next-generation communication networks offers new potential for advancing surgical training. This paper presents the Magos Bakri Balloon Placement Training (MBBPT) system, a Virtual Reality (VR) simulation platform integrated with haptic feedback and 5th Generation (5G) Open Radio Access Network (O-RAN) connectivity. The system enables realistic and interactive medical training, leveraging submillimeter-precision hand tracking and kinesthetic feedback from Magos gloves. To evaluate the feasibility and performance of network-assisted VR training, MBBPT was tested across a disaggregated O-RAN-based private 5G testbed at University College Dublin (UCD), a standalone private 5G testbed at Patras, and a cross-site setup linking both. The setup assessed Key Performance Indicators (KPIs) and Key Value Indicators (KVIs) to show the system supports responsive, multiuser VR interactions across geographically distributed sites, with consistent performance. These findings highlight the role of 5G O-RAN as an enabler for scalable, collaborative, high-fidelity immersive medical education.";"2025";"V. Ravihansa and C. Sandeepa and O. Vasilapostolos and F. McAuliffe and E. Mangina and M. Liyanage";"2025 IEEE 50th Conference on Local Computer Networks (LCN)";"https://doi.org/10.1109/LCN65610.2025.11146288"
"Networked Tactile Sharing Enabled by Online Texture Twinning and Rendering";"Digital Twin (DT) generates real-time digital counterparts of physical devices, enabling instantaneous monitoring and decision-making for remote system operations. This paper presents an online remote tactile texture sharing framework that integrates DT with AI-enhanced haptic rendering. By combining XR-based haptic feedback and a fingertip tactile unit equipped with a surface morphological probe, we establish an online texture twinning system that synergizes physical metrology with deep learning to enhance the spatial resolution of tactile probes. Experimental validation on eight types of materials — including metals, polymers, and composites — demonstrates that our lightweight convolutional neural network achieves real-time texture reconstruction with a mean absolute error (MAE) of 2.13 mV and a root mean square error (RMSE) of 2.60 mV, showing high consistency between predicted and actual surface roughness. These results highlight the framework’s potential in advancing remote collaboration and immersive experiences within the emerging Tactile Internet paradigm.";"2025";"M. Huang and R. Feng and X. Yu and L. Zou and J. Xie";"2025 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)";"https://doi.org/10.1109/BMSB65076.2025.11165655"
"RecHap: An Interactive Recommender System for Navigating a Large Number of Mid-Air Haptic Designs";"Designing haptics is a difficult task especially when the user attempts to design a sensation from scratch. In the fields of visual and audio design, designers often use a large library of examples for inspiration, supported by intelligent systems like recommender systems. In this work, we contribute a corpus of 10 000 mid-air haptic designs (500 hand-designed sensations augmented 20x to create 10 000), and we use it to investigate a novel method for both novice and experienced hapticians to use these examples in mid-air haptic design. The RecHap design tool uses a neural-network based recommendation system that suggests pre-existing examples by sampling various regions of an encoded latent space. The tool also provides a graphical user interface for designers to visualize the sensation in 3D view, select previous designs, and bookmark favourites, all while feeling designs in real-time. We conducted a user study with 12 participants suggesting that the tool enables people to quickly explore design ideas and experience them immediately. The design suggestions encouraged collaboration, expression, exploration, and enjoyment, which improved creativity support.";"2024";"K. Theivendran and A. Wu and W. Frier and O. Schneider";"IEEE Transactions on Haptics";"https://doi.org/10.1109/TOH.2023.3276812"
"Touching Virtual Humans: Haptic Responses Reveal the Emotional Impact of Affective Agents";"Interpersonal touch is critical for social-emotional development and presents a powerful modality for communicating emotions. Virtual agents of the future could capitalize on touch to establish social bonds with humans and facilitate cooperation in virtual reality (VR). We studied whether the emotional expression of a virtual agent would affect the way humans touch the agent. Participants were asked to hold a pressure-sensing tube presented as the agent’s arm in VR. Upon seeing the agent’s emotional expression change, participants briefly squeezed the arm. The effect of emotional expressions on affective state was measured using self-reported valence and arousal as well as physiology-based indices. Onset, duration, and intensity of the squeeze were recorded to examine the haptic responses. Emotional expression of agents affected squeeze intensity and duration through changes in emotional perception and experience. Haptic responses may thus provide an implicit measure of persons’ experience towards their virtual companion.";"2023";"Ahmed, Imtiaj and Harjunen, Ville and Jacucci, Giulio and Ravaja, Niklas and Ruotsalo, Tuukka and Spapé, Michiel";"IEEE Transactions on Affective Computing";"https://doi.org/10.1109/TAFFC.2020.3038137"
"Haptic-Enabled Telementoring Surgery Simulation";"Medical surgery involves a high degree of skill and experience, making the learning curve for medical trainees quite long. For instance, in eye cataract surgery, despite it only taking around seven minutes for a well-trained surgeon to perform and having a success rate of 99 percent, medical residents need months to become proficient in this procedure to avoid its typical complications. Medical trainees traditionally have acquired surgical skills through apprenticeships in which trainees observe senior surgeons, then perform under guidance until they achieve mastery. Training often makes use of cadavers or laboratory animals, but this type of training is becoming increasingly difficult to do in many countries due to ethical reasons. An effective alternative is medical simulation, which can enhance understanding, improve performance, and assess competence; in preoperative settings, it assists surgeons in remaining at a high technical skill level. Surgical simulation can provide high-fidelity training that increases the diffusion of innovative and less- invasive procedures while decreasing the surgeon's learning curve.";"2008";"X. Shen and J. Zhou and A. Hamam and S. Nourian and N. R. El-Far and F. Malric and N. D. Georganas";"IEEE MultiMedia";"https://doi.org/10.1109/MMUL.2008.9"
"Ultrareliable and Low-Latency Communication Techniques for Tactile Internet Services";"This paper presents novel ultrareliable and low-latency communication (URLLC) techniques for URLLC services, such as Tactile Internet services. Among typical use cases of URLLC services are teleoperation, immersive virtual reality, cooperative automated driving, and so on. In such URLLC services, new kinds of traffic such as haptic information including kinesthetic information and tactile information need to be delivered in addition to high-quality video and audio traffic in traditional multimedia services. Furthermore, such a variety of traffic has various characteristics in terms of packet sizes and data rates with a variety of requirements of latency and reliability. Furthermore, some traffic may occur in a sporadic manner but requires reliable delivery of packets of medium to large sizes within a low latency, which is not supported by current state-of-the-art wireless communication systems and is very challenging for future wireless communication systems. Thus, to meet such a variety of tight traffic requirements in a wireless communication system, novel technologies from the physical layer to the network layer need to be devised. In this paper, some novel physical layer technologies such as waveform multiplexing, multiple-access scheme, channel code design, synchronization, and full-duplex transmission for spectrally efficient URLLC are introduced. In addition, a novel performance evaluation approach, which combines a ray-tracing tool and system-level simulation, is suggested for evaluating the performance of the proposed schemes. Simulation results show the feasibility of the proposed schemes providing realistic URLLC services in realistic geographical environments, which encourages further efforts to substantiate the proposed work.";"2019";"K. S. Kim and D. K. Kim and C. -B. Chae and S. Choi and Y. -C. Ko and J. Kim and Y. -G. Lim and M. Yang and S. Kim and B. Lim and K. Lee and K. L. Ryu";"Proceedings of the IEEE";"https://doi.org/10.1109/JPROC.2018.2868995"
"Immersive Visualization Architectures and Situated Embodiments of Culture and Heritage";"This paper describes a series of transdisciplinary research projects in five large-scale, interactive visualization architectures. These immersive architectures and their associated visual, sonic and algorithmic techniques offer compelling means for mapping and remediating the tangible, intangible and abstract aspects of culture and heritage landscapes. This paper brings these unique systems and the installations developed for them together for the first time. The task here is to highlight the strategies for embodied, kinaesthetic, multisensory and collaborative engagement as powerful ways to reformulate narrative made possible through these stereographic, panoramic, situated interfaces.";"2010";"S. Kenderdine";"2010 14th International Conference Information Visualisation";"https://doi.org/10.1109/IV.2010.63"
"Co-Simulation Environment for the Analysis of the Driving Simulator’s Actuation";"Driving simulators are providing the user realistic feedback regarding the required visual, auditory, haptic and kinesthetic information. The most common way of imposing the motion of the driving simulator is by the 6 degrees of freedom (DOF) Stewart hexapod platform. The actuation of the platform is performed through a mechatronic device, composed by a synchronous motor, belt drive, and a screw-ball mechanism. The simulation of the driving simulator’s actuation has to validate the motion platform characteristics. Combining different software packages and taking advantage of the strength of each of them, a collaborative co-simulation environment is opening the doors for powerful virtual prototyping and testing tools. In this paper, the co-simulation environment is using three powerful simulation software packages (Simcenter Amesim, Simcenter 3D Motion and Matlab/Simulink). In this environment were established the electromechanical model of the actuators, the dynamical model of the motion platform and the control module of the permanent magnet synchronous motors. The result of the co-simulation is confirming that the imposed motion of the platform can be achieved on the driving simulator. The motion of the platform was checked with an optical tracking device by attaching a reflective marker on the platform and recording its movement.";"2019";"Antonya, Csaba and Irimia, Cristi and Grovu, Mihail and Husar, Călin and Ruba, Mircea";"2019 7th International Conference on Control, Mechatronics and Automation (ICCMA)";"https://doi.org/10.1109/ICCMA46720.2019.8988628"
"Precise Position/Force Hybrid Control With Modal Mass Decoupling and Bilateral Communication Between Different Structures";"In this study, we achieve haptic communication between different structures. In haptic communication, tactile sensation is transmitted to a remote place by cooperating robots. Conventional haptic communication is implemented under the assumption that the masses of the actuators are equal. We have found that haptic communication system is a kind of position/force hybrid control system and that it is not necessary to follow that assumption. In addition, exact modeling of haptic communication system and decoupling of tasks are essential for highly precise haptic communication. First, we describe the kinetic and dynamic behaviors of haptic communication system for cardiac surgery. The deterioration of haptic performance is shown to depend on an interference term, due to off-diagonal parameters in the modal mass matrix. Second, we propose a novel hybrid controller for the decoupling of the responses, and we analyze its performance, stability, and robustness. Simulations and experiments toward cardiac surgery are shown, and the effectiveness of the proposed method is verified.";"2011";"S. Sakaino and T. Sato and K. Ohnishi";"IEEE Transactions on Industrial Informatics";"https://doi.org/10.1109/TII.2011.2121077"
"Bounded Rational Game-theoretical Modeling of Human Joint Actions with Incomplete Information";"As humans and robots start to collaborate in close proximity, robots are tasked to perceive, comprehend, and anticipate human partners' actions, which demands a predictive model to describe how humans collaborate with each other in joint actions. Previous studies either simplify the collaborative task as an optimal control problem between two agents or do not consider the learning process of humans during repeated interaction. This idyllic representation is thus not able to model human rationality and the learning process. In this paper, a bounded-rational and game-theoretical human cooperative model is developed to describe the cooperative behaviors of the human dyad. An experiment of a joint object pushing collaborative task was conducted with 30 human subjects using haptic interfaces in a virtual environment. The proposed model uses inverse optimal control (IOC) to model the reward parameters in the collaborative task. The collected data verified the accuracy of the predicted human trajectory generated from the bounded rational model excels the one with a fully rational model. We further provide insight from the conducted experiments about the effects of leadership on the performance of human collaboration.";"2022";"Y. Wang and P. Shintre and S. Amatya and W. Zhang";"2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)";"https://doi.org/10.1109/IROS47612.2022.9982108"
"Scanning the Literature";"With the rapid development of wireless communications and multimedia technologies, humans are increasingly seeking more immersive and multidimensional sensory experiences beyond traditional audio-visual demands. This has led to the emergence of multi-modal services, which further integrate haptic modality signals and are poised to become the next generation of multimedia services in the 6th-generation (6G) era. Examples of multi-modal services include industrial manipulation, e-health care, remote education, and more. To adequately facilitate these multi-modal services, this work pioneers a new approach: cross-modal collaborative communications, an emerging paradigm with significant potential. The fundamental goal of cross-modal collaborative communications is to overcome barriers and fully leverage the potential correlations among audio, visual, and haptic modality signals within multi-modal services. By doing so, cross-modal collaborative communications can effectively meet the requirements of low latency, high reliability, and high throughput. Specifically, on one hand, a content-driven scheduling scheme has been designed by leveraging the spatio-temporal transmission characteristics among audio, visual, and haptic modalities. On the other hand, a complete cross-modal signal restoration, reconstruction, and rendering architecture has been developed through semantic-based signal fusion and sharing among different modalities. Evaluation results demonstrated that the cross-modal collaborative communications can improve the immersive experience of the user substantially and considerably.";"2024";NA;"IEEE Wireless Communications";"https://doi.org/10.1109/MWC.2024.10628021"
"Multicontact Bilateral Telemanipulation With Kinematic Asymmetries";"We propose a novel bilateral telemanipulation framework to tame master and slave devices having different structures. This condition applies to multicontact teleoperation scenarios where the number of contact points on the slave side and the number of interaction points on the master side are different. An example is a master device interacting with the thumb and the index fingertips of the human operator, and as slave device, a robotic arm with a multifingered robotic hand. In case of a manipulation task, it is not straightforward to transmit motion commands and reflect forces from the interaction with the environment. A general telemanipulation framework, that does not consider the specific kinematics of the devices involved, is needed. The main idea of this study is to take advantage of a virtual object as a mediator between the master and slave side. The arising forward and backward mapping algorithms are able to relate the motions and the exerted forces of very dissimilar systems. The approach has been evaluated in a case study consisting of two haptic interfaces used both to track the index and thumb motions and to render forces on the master side and a robotic arm with a multifingered hand as end effector on the slave side. The results presented in this paper can be extended to cooperative grasping scenarios where multiple robots telemanipulate the same object.";"2017";"G. Salvietti and L. Meli and G. Gioioso and M. Malvezzi and D. Prattichizzo";"IEEE/ASME Transactions on Mechatronics";"https://doi.org/10.1109/TMECH.2016.2606895"
"A Distributed Topology Control Algorithm for P2P Based Simulations";"Although collaborative distributed simulations and virtual environments (VE) have been an active area of research in the past few years, they have recently gained even more attention due to the emergence of online gaming, emergency simulation and planning systems, and disaster management applications. Such environments combine graphics, haptics, animations and networking to create interactive multimodal worlds that allows participants to collaborate in realtime. Massively Multiplayer Online Gaming (MMOG), perhaps the most widely deployed practical application of distributed virtual environments, allows players to act together concurrently in a virtual world over the Internet. IP Multicasting would be an optimal solution for the dissemination of updates among participants, but IP multicasting is not available to home users on the Internet, due to a number of technological, practical, and business reasons. In light of the lack availability of IP Multicasting on the global Internet, researchers have recently tended to shift multicasting from the networking layer to the application layer, known as Application Layer Multicasting, effectively constructing an overlay network among participants of the distributed simulation where end hosts themselves participate in the dissemination of update messages. In this paper, we propose a topology control architecture to support P2P based collaborative distributed simulations over the Internet by using AIM. We present our networking model and its rationale, theoretical proof, and simulation measurements in comparison with other methods as proof of concept.";"2007";"Hariri, Behnoosh and Shirmohammadi, Shervin and Pakravan, Mohammad";"11th IEEE International Symposium on Distributed Simulation and Real-Time Applications (DS-RT'07)";"https://doi.org/10.1109/DS-RT.2007.39"
"An image-processing based prototype of decreasing transmission time of visual information for a tele-operative surgical system";"The Internet-based tele-operative surgical training system for Vascular Interventional Surgery (VIS) is a promising method to protect surgeons from long time exposure to radiation and to do the surgery cooperatively across the whole world and to allow unskilled surgeons to learn basic catheter or guidewire skills corresponding to inter-country distances. However, unpredictable and variable transmission time of visual feedback is always accompanied by the significant deterioration of the feasibility and manoeuvrability and could lead to damage to tissues in actual surgery. In this paper, an image-processing based prototype was proposed to effectively reduce the transmission time of visual feedback. At patient's site, the shape of catheter or guidewire was detected in real time and the position of catheter was presented by the three dimensional coordinates in World Coordinate System (WCS). Furthermore, at operative site, the shape of catheter was reconstructed as the visual feedback according to the coordinate values received from patient's site. Transmission time of visual feedback was therefore decreased due to significant reduction of data volume. In addition, coordinates values are more easily synchronized with the control signals and haptic data due to the size between visual and other data is similar. Finally, a remote transmission experiment of visual feedback was conducted to show that the proposed prototype made a better performance improvement for Internet-based transmission with delays during inter-country distances.";"2013";"J. Guo and S. Guo and N. Xiao";"MHS2013";"https://doi.org/10.1109/MHS.2013.6710419"
"Multisensory platform for surgical simulation";"Advanced display technologies have made the virtual exploration of relatively complex models feasible in many applications. Unfortunately, only a few human interfaces allow natural interaction with the environment. Moreover in surgical applications, such realistic interaction requires real time rendering of volumetric data-placing an overwhelming performance burden on the system. We report on a collaboration of a unique interdisciplinary group developing a virtual reality system that provides intuitive interaction with complex volume data by employing real time realistic volume rendering and convincing force feedback (haptic) sensations. We describe our rendering methods and the haptic devices in detail and demonstrate the utilization of this system in the real world application of Endoscopic Sinus Surgery (ESS) simulation.";"1996";"Yagel, Roni and Stredney, D and Wiet, Gregory and Schmalbrock, Petra and Rosenberg, Louis and Sessanna, D and Kurzion, Yair and King, Samuel";"Proceedings of the IEEE 1996 Virtual Reality Annual International Symposium";"https://doi.org/10.1109/VRAIS.1996.490513"
"IMenu: A Smart Table Interface Combining TUIs, Gestures, AR, Eye-Gaze, and Emotion Recognition";"Human-Computer Interaction (HCI) continues to evolve, bridging the gap between humans and technology by creating intuitive, engaging, and efficient interactive systems. Among these innovations, smart table systems have emerged as a promising solution for environments like restaurants and collaborative workspaces. However, these systems often face challenges in understanding user preferences, fostering engagement, and delivering seamless interaction. Traditional input methods, such as touch-based controls, fall short of providing the natural, immersive experiences that users now expect from interactive systems. Therefore, this study investigates alternative interaction techniques to traditional HCI methods, focusing on hand gestures, Tangible User Interfaces (TUI), and Augmented Reality (AR) to evaluate their usability and effectiveness in smart table interactions. Hand gestures enable a contactless and intuitive interface, allowing users to interact naturally. Tangible User Interfaces (TUIs) provide a tactile dimension by enabling interaction with physical objects, enhancing engagement, while Augmented Reality (AR) integrates virtual and physical elements to create immersive experiences. A user study evaluated these methods, focusing on task completion times, learning curves, and overall usability. The results highlight that while hand gestures proved the most efficient and intuitive, Tangible User Interfaces (TUIs) and Augmented Reality (AR) provided distinct advantages in engagement and immersion. This analysis highlights the strengths and weaknesses of each technique, providing insights into their effectiveness for smart table interactions.";"2025";"H. M. El-Amir and O. H. Abdellatif and A. A. Mazrou and M. A. Ebrahim and A. El-Beih and A. Atia";"2025 7th Novel Intelligent and Leading Emerging Sciences Conference (NILES)";"https://doi.org/10.1109/NILES68063.2025.11232066"
"Consumer Electronics Technologies for Enabling an Immersive Metaverse Experience";"The idea of the Metaverse as a virtual reality space where people can interact with computer-generated surroundings and each other in real time is gaining attention as this technology is roaring. Consumer electronics (CE) technology plays a crucial role in developing and using the metaverse. It offers the metaverse various devices like virtual reality headsets, augmented reality glasses, smartphones, and haptic feedback devices. These devices give users immersive experiences, improve communication and collaboration, and explore virtual worlds. In this article, we review several applications of consumer electronics technology in the metaverse, two case studies of consumer electronics in the metaverse, several challenges in the existing CE technology in adapting it to the metaverse, and some future directions for research. As a part of case studies, we analyze how CE technology impacts education and healthcare in the metaverse. In metaverse education and healthcare, CE provides opportunities for immersive learning experiences, virtual simulations, remote training, and improved patient care. Numerous challenges CE faces in the context of metaverse related to structure development, standardization efforts, privacy concerns, and ensuring security that must be addressed for its successful implementation have been identified. Despite its limitations, ongoing efforts are being made to enhance these devices and optimize the overall experience for the metaverse.";"2024";"Sai, Siva and Goyal, D.P. and Chamola, Vinay and Sikdar, Biplab";"IEEE Consumer Electronics Magazine";"https://doi.org/10.1109/MCE.2023.3327530"
"Systems 3: multisensory access to the graphic based computers by persons who are blind";"As personal computers have evolved, they have become an essential tool in the personal, educational, and professional lives of people who are blind. However, the advent of graphics-based operating systems (such as Macintosh, Windows and OS/2), has caused well-founded concern that computers will no longer be accessible to people who are blind, because these systems use a display technology incompatible with traditional screen access approaches. The Systems-3 prototype, through cooperative efforts and innovative programming, offers a solution to this screen access problem in one graphical environment, the Apple Macintosh and soon the Windows 3.0 environment as well. The prototype system not only allows access to what can be though of as traditionally textual information (standard word processing files, spreadsheets and databases) but also to information that is inherently graphical in nature (graphs, charts, diagrams, and line drawings). System 3 offers: keyboard access to menus, icons, windows etc; full page virtual tactile tablet, 2D sound, and other features.<>";"1992";"Vanderheiden, Gregg and Boyd, Wesley and Ford, Kelly and Kunz, David and Mendenhall, John";"Proceedings of the Johns Hopkins National Search for Computing Applications to Assist Persons with Disabilities";"https://doi.org/10.1109/CAAPWD.1992.217418"
"An Adaptive Semi-Autonomous Impedance Controller for Teleoperated Object Grasping Based on Human Grip Safety Margin";"Humans can effortlessly grasp various objects when the fingers are in direct physical interaction with the object. However, the same actions become complicated when grasping has to be performed via a teleoperated remote robot due to a lack of direct contact and reduced sensory information. Having a fully autonomous remote robot can eliminate the problem of lack of proper feedback to the human operator, nevertheless, it also prevents human control over the remote robot's grasping actions. In this paper, we propose a semi-autonomous controller for a teleoperated robot grasping where the human operator controls the grasping aperture while the robot controls the impedance of the gripper. When the operator grasps an object with the remote robot, the semi-autonomous controller maintains the grip force by adjusting stiffness. The developed stiffness adjustment approach derives from the concept of grip force safety margin, which is the central regulation principle humans use to maintain a light grasp yet prevent object slippage. To detect incipient slippage, we use a tactile sensor that captures the local deformations due to the contact and interprets them to determine the proximity to the object's slip. To validate the proposed method, we performed experiments on a teleoperation system composed of Force Dimension sigma.7 haptic interface and a KUKA LBR iiwa collaborative robot equipped with a custom-built gripper. The results show that the proposed controller is robust to external perturbations while it adapts to the operator's commands to prevent grasped object slippage.";"2023";"M. Popken and J. M. Prendergast and M. Wiertlewski and L. Peternel";"2023 IEEE-RAS 22nd International Conference on Humanoid Robots (Humanoids)";"https://doi.org/10.1109/Humanoids57100.2023.10375144"
"Human-human physical interaction in the joint control of an underactuated virtual object";"Human-human physical interaction has proven to be advantageous especially in contexts with high coordination requirements. But under which conditions can haptic communication bring to performance benefits in a challenging cooperative environment? In this work we investigate which are the dynamics that intervene when two subjects are required to switch from a bimanual to a dyadic configuration in order to solve a complex reaching and stabilization task of a virtual tool in the presence of an unstable dynamics. Results show that dyadic cooperation can improve the performance respect to the individual condition, while minimizing the effort. However, in the joint task, when the stiffness of the system becomes harder to manipulate the feedback delays appear to be critical in determining the maximum achievable level of performance.";"2014";"De Santis, Dalia and Zenzeri, Jacopo and Masia, Lorenzo and Squeri, Valentina and Morasso, Pietro";"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society";"https://doi.org/10.1109/EMBC.2014.6944601"
"Multi-Agent Reinforcement Learning-Based Distributed Channel Access for Next Generation Wireless Networks";"In the next generation wireless networks, more applications will emerge, covering virtual reality movies, augmented reality, holographic three-dimensional telepresence, haptic telemedicine and so on, which require the provisioning of high bandwidth efficiency and low latency services. In order to better support the aforementioned applications and services, novel distributed channel access (DCA) schemes are necessary. Therefore, we propose a new MAC protocol, QMIX-advanced Listen-Before-Talk (QLBT), based on the cutting-edge multi-agent reinforcement learning (MARL) algorithm. It employs a centralized training with decentralized execution (CTDE) framework to exploit the overall information of all agents during training, and ensure that each agent can independently infer the optimal channel access behavior based on its local observation. We enhance QMIX, a well-known MARL algorithm, by introducing an extra individual Q-value for each agent in the mixing network apart from the original total Q-value, which makes QLBT more stable. Moreover, delay to last successful transmission (D2LT) is first introduced in this work as a part of the observations of each QLBT agent, which facilitates agents to reach a cooperative policy that prioritizes the agent with the longest delay. Finally, extensive simulation experiments are provided to show that the proposed QLBT algorithm: 1) outperforms CSMA/CA and even its theoretical performance bound in various scenarios including saturated traffic, unsaturated traffic and delay-sensitive traffic; 2) is robust in dynamic environment; and 3) is able to friendly coexist with “legacy” CSMA/CA stations.";"2022";"Guo, Ziyang and Chen, Zhenyu and Liu, Peng and Luo, Jianjun and Yang, Xun and Sun, Xinghua";"IEEE Journal on Selected Areas in Communications";"https://doi.org/10.1109/JSAC.2022.3143251"
"Dual-Driver Networked Fire Truck Simulator with Multimodal Display including Force Feedback Steering and Rotating Motion Platform";"We describe the integration of two pairs of force displays-- a force-feedback wheel (FFBW) and the S c haire (`Share Chair'), a rotary motion platform-- in a dual- driver networked driving simulator which navigates through virtual space using CVE ( collaborative virtual environment) groupware. We developed a double-driver (long ladder-style) fire-truck simulation with a tiller (rear steering), driven via an integrated pair of networked driving simulator stations. Such a dual-driver system is useful to turn narrow corners rapidly and smoothly in case of (simulated) emergencies. Its FFB steering wheels display simple collision force to both drivers separately when the vehicle collides with walls or other vehicles. The technique of feeding back the effect employs programs using C++ and DirectInput, escaping to an execution file called Force- Manager from the driving simulator, which is implemented with Java3D. Effect patterns are changed by arguments to ForceManager. The S c haire is rotated with a servo- motor, the rotation angle controlled via internet through the CVE. A demonstration video is posted at http: //sonic.u-aizu.ac.jp/spatial-media/ Videos/DualDrivingSimulator.mov . Keywords: dual-driver networked driving simulator, force feedback, haptic interface, rotary motion platform.";"2007";"Nagai, Tatsuya and Cohen, Michael and Moriguchi, Yoshinori and Murakami, Yoko";"16th IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE 2007)";"https://doi.org/10.1109/WETICE.2007.4407202"
"Proceedings Seventh IEEE International Symposium on Distributed Simulation and Real-Time Applications";"The following topics are dealt with: high level architecture (HLA) and grid issues; real time systems; quality of service (QoS) and multimedia; parallel and distributed simulation; methodology and Web-based simulation; distributed simulation project management; and haptic audio visual collaborative virtual environments.";"2003";NA;"Proceedings Seventh IEEE International Symposium on Distributed Simulation and Real-Time Applications";"https://doi.org/10.1109/DISRTA.2003.1242989"
