"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Perspective Matters: Design Implications for Motion Guidance in Mixed Reality","X. Yu; K. Angerbauer; P. Mohr; D. Kalkofen; M. Sedlmair",University of Stuttgart; University of Stuttgart; Graz University of Technology; Graz University of Technology; University of Stuttgart,2020 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"14 Dec 2020","2020","","","577","587","We investigate how Mixed Reality (MR) can be used to guide human body motions, such as in physiotherapy, dancing, or workout applications. While first MR prototypes have shown promising results, many dimensions of the design space behind such applications remain largely unexplored. To better understand this design space, we approach the topic from different angles by contributing three user studies. In particular, we take a closer look at the influence of the perspective, the characteristics of motions, and visual guidance on different user performance measures. Our results indicate that a first-person perspective performs best for all visible motions, whereas the type of visual instruction plays a minor role. From our results we compile a set of considerations that can guide future work on the design of instructions, evaluations, and the technical setup of MR motion guidance systems.","1554-7868","978-1-7281-8508-8","10.1109/ISMAR50242.2020.00085","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284729","Information Interfaces and Presentation—User Interfaces—Evaluation/Methodology;Computer Graphics—ThreeDimensional Graphics and Realism—Virtual Reality","Visualization;Atmospheric measurements;Prototypes;Particle measurements;Timing;Task analysis;Sports","","19","","38","IEEE","14 Dec 2020","","","IEEE","IEEE Conferences"
"Constructing a Gazebo: Supporting Teamwork in a Tightly Coupled, Distributed Task in Virtual Reality","D. Roberts; R. Wolff; O. Otto; A. Steed","Department of Computer Science The University of Reading, United Kingdom, d.j.roberts@rdg.ac.uk; Department of Computer Science The University of Reading, United Kingdom, R.Wolff@rdg.ac.uk; Department of Computer Science The University of Reading, United Kingdom, O.Otto@rdg.ac.uk; Department of Computer Science University College London, United Kingdom, A.Steed@cs.ucl.ac.uk",Presence,"19 May 2014","2003","12","6","644","657","Many tasks require teamwork. Team members may work concurrently, but there must be some occasions of coming together. Collaborative virtual environments (CVEs) allow distributed teams to come together across distance to share a task. Studies of CVE systems have tended to focus on the sense of presence or copresence with other people. They have avoided studying close interaction between us-ers, such as the shared manipulation of objects, because CVEs suffer from inherent network delays and often have cumbersome user interfaces. Little is known about the ef-fectiveness of collaboration in tasks requiring various forms of object sharing and, in particular, the concurrent manipu-lation of objects. This paper investigates the effectiveness of supporting teamwork among a geographically distributed group in a task that requires the shared manipulation of objects. To complete the task, users must share objects through con-current manipulation of both the same and distinct at-tributes. The effectiveness of teamwork is measured in terms of time taken to achieve each step, as well as the impression of users. The effect of interface is examined by comparing various combinations of walk-in cubic immersive projection technology (IPT) displays and desktop devices.","1054-7460","","10.1162/105474603322955932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6790594","","","","18","","","","19 May 2014","","","MIT Press","MIT Press Journals"
"Predict-and-Drive: Avatar Motion Adaption in Room-Scale Augmented Reality Telepresence with Heterogeneous Spaces","X. Wang; H. Ye; C. Sandor; W. Zhang; H. Fu","MOEKLINNS Lab, School of Computer Science and Technology, Xi'an Jiaotong University, China; School of Creative Media, City University of Hong Kong, China; Laboratoire Interdisciplinaire des Sciences du Numérique (LISN), Université Paris-Saclay / CNRS, France; MOEKLINNS Lab, School of Computer Science and Technology, Xi'an Jiaotong University, China; School of Creative Media, City University of Hong Kong, China",IEEE Transactions on Visualization and Computer Graphics,"21 Oct 2022","2022","28","11","3705","3714","Avatar-mediated symmetric Augmented Reality (AR) telepresence has emerged with the ability to empower users located in different remote spaces to interact with each other in 3D through avatars. However, different spaces have heterogeneous structures and features, which bring difficulties in synchronizing avatar motions with real user motions and adapting avatar motions to local scenes. To overcome these issues, existing methods generate mutual movable spaces or retarget the placement of avatars. However, these methods limit the telepresence experience in a small sub-area space, fix the positions of users and avatars, or adjust the beginning/ending positions of avatars without presenting smooth transitions. Moreover, the delay between the avatar retargeting and users' real transitions can break the semantic synchronization between users' verbal conversation and perceived avatar motion. In this paper, we first examine the impact of the aforementioned transition delay and explore the preferred transition style with the existence of such delay through user studies. With the results showing a significant negative effect of avatar transition delay and providing the design choice of the transition style, we propose a Predict-and-Drive controller to diminish the delay and present the smooth transition of the telepresence avatar. We also introduce a grouping component as an upgrade to immediately calculate a coarse virtual target once the user initiates a transition, which could further eliminate the avatar transition delay. Once having the coarse virtual target or an exactly predicted target, we find the corresponding target for the avatar according to the pre-constructed mapping of objects of interest between two spaces. The avatar control component maintains an artificial potential field of the space and drives the avatar towards the target while respecting the obstacles in the physical environment. We further conduct ablation studies to evaluate the effectiveness of our proposed components.","1941-0506","","10.1109/TVCG.2022.3203109","National Key Research and Development Program of China(grant numbers:2020AAA0108800); City University of Hong Kong(grant numbers:7005729,9667234,7005590,9229094); National Natural Science Foundation of China(grant numbers:62172326,62137002,61721002); Innovative Research Group; Innovation Research Team of Ministry of Education(grant numbers:IRT 17R86); Project of China Knowledge Centre for Engineering Science and Technology; RGC Postdoc Fellowship Scheme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9873991","AR Telepresence;Avatar Motion Adaption;Heterogeneous Spaces;Redirected Walking","Avatars;Telepresence;Delays;Aerospace electronics;Semantics;Real-time systems;Oral communication","User-Computer Interface;Computer Graphics;Augmented Reality;Communication","17","","41","IEEE","1 Sep 2022","","","IEEE","IEEE Journals"
"Impact of Full-Body Avatars in Immersive Multiplayer Virtual Reality Training for Police Forces","P. Caserman; P. Schmidt; T. Göbel; J. Zinnäcker; A. Kecke; S. Göbel","Department of Electrical Engineering and Information Technology, Technical University of Darmstadt, Darmstadt, Germany; Department of Electrical Engineering and Information Technology, Technical University of Darmstadt, Darmstadt, Germany; Hessian University for Police and Administration, Mühlheim, Germany; Hessian Police Headquarters for Technology, Wiesbaden, Germany; Hessian University for Police and Administration, Mühlheim, Germany; Department of Electrical Engineering and Information Technology, Technical University of Darmstadt, Darmstadt, Germany",IEEE Transactions on Games,"15 Dec 2022","2022","14","4","706","714","Recent advancements in virtual reality technology contributed to the development of immersive games and simulations of any kind. Simulations are a valuable tool for police forces to practice specific skills within threatening, dangerous, and stressful situations without dangerous real-world implications. Effective virtual simulations need to be realistic in terms of actions and also need to elicit emotion, engagement, and stress. To this end, we developed a multiplayer virtual reality training simulation for police forces to explore the effect of full-body avatars, especially regarding the stress level and response to threats. We analyzed the statistical significance and effect sizes of the data from 32 police officers under two conditions: either they could see an assailant with a full-body avatar or only a head and hands. The results reveal an increase in stress level and threat during the immersion with the full-body avatar. This was shown objectively by analyzing the heart rate variability and subjectively by examining a questionnaire in response to a threat to the assailant’s virtual body. These findings indicate that an assailant with a full-body avatar is beneficial during training for police forces, as it increases the feeling of a threat and contributes to a more realistic training experience.","2475-1510","","10.1109/TG.2022.3148791","SimuLab(grant numbers:2019_FO-09); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706353","Full-body motion reconstruction;immersive virtual reality;multiplayer training simulation;serious games;stress;threat response","Training;Law enforcement;Avatars;Stress;Solid modeling;Heart rate variability;Kinematics","","17","","48","IEEE","7 Feb 2022","","","IEEE","IEEE Journals"
"Tilted tabletops: In between horizontal and vertical workspaces","C. Muller-Tomfelde; A. Wessels; C. Schremmer","Information and Communication Technologies Centre, CSIRO, NSW, Australia; Information and Communication Technologies Centre, CSIRO, NSW, Australia; Information and Communication Technologies Centre, CSIRO, NSW, Australia",2008 3rd IEEE International Workshop on Horizontal Interactive Human Computer Systems,"28 Oct 2008","2008","","","49","56","In this paper we examine tilted tabletops as workspaces for computer-supported group collaboration. The configuration of a tilted tabletop is considered to be in between a fully horizontal tabletop and a vertical whiteboard. We describe related work, and provide an overview of the advantages and disadvantages of such a configuration. Furthermore, we present the results of a user study about tilted tabletops. We captured the tilt angle preference of 78 participants using mock-ups of the basic workspace elements. The study was conducted after they experienced a combined distributed and co-located collaboration. The results of the study reveal that the majority of the participants prefer a tilted workspace rather than a fully horizontal one for interaction. We discuss the implications of these results for the design of tabletop-based collaborative environments.","","978-1-4244-2897-7","10.1109/TABLETOP.2008.4660183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4660183","","Collaboration;Computers;Layout;Prototypes;Humans;Conferences;Ergonomics","","16","","27","IEEE","28 Oct 2008","","","IEEE","IEEE Conferences"
"MediSim: a prototype VR system for training medical first responders","S. Stansfield; D. Shawver; A. Sobel","Sandia National Laboratories, Albuquerque, NM, USA; Sandia National Laboratories, Albuquerque, NM, USA; Sandia National Laboratories, Albuquerque, NM, USA",Proceedings. IEEE 1998 Virtual Reality Annual International Symposium (Cat. No.98CB36180),"6 Aug 2002","1998","","","198","205","This paper presents a prototype virtual reality (VR) system for training medical first responders. The initial application is to battlefield medicine and focuses on the training of medical corpsmen and other front-line personnel who might be called upon to provide emergency triage on the battlefield. The system is built upon Sandia's multi-user, distributed VR platform and provides an interactive, immersive simulation capability. The user is represented by an Avatar and is able to manipulate his virtual instruments and carry out medical procedures. A dynamic casualty simulation provides realistic cues to the patient's condition (e.g. changing blood pressure and pulse) and responds to the actions of the trainee (e.g. a change in the color of a patient's skin may result from a check of the capillary refill rate). The current casualty simulation is of an injury resulting in a tension pneumothorax. This casualty model was developed by the University of Pennsylvania and integrated into the Sandia MediSim system.","","0-8186-8362-7","10.1109/VRAIS.1998.658490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=658490","","Prototypes;Virtual reality;Medical simulation;Virtual prototyping;Personnel;Avatars;Instruments;Blood pressure;Skin;Injuries","","16","1","14","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"A review of applications of computer games in education and training","F. Arango; E. -S. Aziz; S. K. Esche; C. Chassapis","Department of Mechanical Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Mechanical Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Mechanical Engineering, Stevens Institute of Technology, Hoboken, NJ, USA; Department of Mechanical Engineering, Stevens Institute of Technology, Hoboken, NJ, USA",2008 38th Annual Frontiers in Education Conference,"22 Dec 2008","2008","","","T4A-1","T4A-6","Scientists, engineers and educators are increasingly using environments enabled by advanced cyberinfrastructure tools for their research, formal and informal education and training, career development and life-long learning. For instance, academic institutions as well as private training and education companies have recently started to explore the potential of commercially available multi-player computer game engines for the development of virtual environments for instructional purposes. Most of these developments are still in their early stages and are focused mainly on investigating the suitability of interactive games for remote user interaction, content distribution and collaborative activities. Some of the ongoing projects have additional research objectives, such as the analysis of patterns of human behavior and the study of the collaboration between users and their interaction with virtual environments. A few other developments are aimed at utilizing computer game technologies as a platform for personnel training and educational laboratory simulations. This paper provides a review of the current state of computer game applications, with a special focus on education and training implementations.","2377-634X","978-1-4244-1969-2","10.1109/FIE.2008.4720514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4720514","Scheduling;Online laboratory;Remote experiment;Sharing;Virtual experiment","Application software;Computer applications;Computer science education;Virtual environment;Collaboration;Career development;Computer aided instruction;Engines;Pattern analysis;Humans","","16","","59","IEEE","22 Dec 2008","","","IEEE","IEEE Conferences"
"Collaborative Virtual Reality in Higher Education: Students' Perceptions on Presence, Challenges, Affordances, and Potential","T. H. Laine; W. Lee","Department of Digital Media, Ajou University, Suwon, Republic of Korea; Department of Digital Media, Ajou University, Suwon, Republic of Korea",IEEE Transactions on Learning Technologies,"29 Dec 2023","2024","17","","280","293","The metaverse is a network of interoperable and persistent 3-D virtual worlds where users can coexist and interact through mechanisms, such as gamification, nonfungible tokens, and cryptocurrencies. Although the metaverse is a theoretical construct today, many collaborative virtual reality (CVR) applications have emerged as potential components of the metaverse. The demand for distance learning in higher education grew rapidly with COVID-19, but it has many challenges such as low motivation, low interest, and lack of suitable environment. We investigated the suitability of CVR applications for higher education by analyzing 9 existing CVR applications and then conducting a mixed-method user study on the Spatial CVR application with 41 university students (24 females, 17 males, mean age: 23.5). The results revealed 14 challenges, 13 affordances, and 20 ideas for using CVR in higher education. Moreover, lack of instructions, cybersickness, discomfort, limited embodiment, and limited sensory stimulation were among the identified issues that may inhibit the sense of presence in Spatial. Based on the findings, we proposed 13 guidelines to facilitate providing CVR learning in higher education and concluded that CVR has some use cases in higher education to complement conventional methods. These results can be useful for researchers, developers, and educators who seek to be at the forefront of adopting CVR as a part of the metaverse to come.","1939-1382","","10.1109/TLT.2023.3319628","MSIT (Ministry of Science and ICT), Korea; Information Technology Research Center(grant numbers:IITP-2021-0-02051); Institute for Information and Communications Technology Planning and Evaluation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10265193","Affordances;challenges;collaborative learning;metaverse;presence;user study;virtual reality (VR)","Metaverse;Usability;Training;Three-dimensional displays;Collaboration;Surgery;Affordances","","15","","50","IEEE","27 Sep 2023","","","IEEE","IEEE Journals"
"Sharing Manipulated Heart Rate Feedback in Collaborative Virtual Environments","A. Dey; H. Chen; A. Hayati; M. Billinghurst; R. W. Lindeman",University of Queensland; University of Canterbury; University of South Australia; University of South Australia; University of Canterbury,2019 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"30 Dec 2019","2019","","","248","257","We have explored the effects of sharing manipulated heart rate feedback in collaborative virtual environments. In our study, we created two types of different virtual environments (active and passive) with different levels of interactions and provided three levels of manipulated heart rate feedback (decreased, unchanged, and increased). We measured the effects of manipulated feedback on Social Presence, affect, physical heart rate, and overall experience. We noticed a significant effect of the manipulated heart rate feedback in affecting scariness and nervousness. The perception of the collaborator's valance and arousal was also affected where increased heart rate feedback perceived as a higher valance and lower arousal. Increased heart rate feedback decreased the real heart rate. The type of virtual environments had a significant effect on social presence, heart rate, and affect where the active environment had better performances across these measurements. We discuss the implications of this and directions for future research.","1554-7868","978-1-7281-0987-9","10.1109/ISMAR.2019.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943737","Virtual Reality;Physiological Feedback;Collaboration;Heartrate;Empathic Cues","Collaboration;Real-time systems;Physiology;Heart beat;Games;Skin","","15","","26","IEEE","30 Dec 2019","","","IEEE","IEEE Conferences"
"Motion Synchronization Control of Distributed Multisubsystems With Invariant Local Natural Dynamics","J. Cheong; S. -I. Niculescu; C. Kim","Department of Control and Instrumentation Engineering, Korea University, South Korea; Laboratory of Signals and Systems, CNRS Supélec, National Center for Scientific Research (CNRS), Gif-sur-Yvette, France; LG Electronics Limited, Changwon, South Korea",IEEE Transactions on Robotics,"3 Apr 2009","2009","25","2","382","398","This paper addresses a new control strategy for synchronizing two or more distributed and interconnected dynamic systems having communication time delays. The proposed strategy that uses the Smith predictor principle and delay information not only achieves synchronization but also preserves the natural local dynamics of each subsystem without being affected by the feedback nature of control. The proposed synchronization scheme is generalized to cases that deal with an arbitrary number of heterogeneous interconnected systems through dynamic scaling of input under a ring-type network configuration. In addition, possibility of applying the proposed scheme to nonlinear systems is discussed. Simulation and experimental tests are conducted to validate theoretical results.","1941-0468","","10.1109/TRO.2008.2011529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4770176","Distributed systems;dynamic scaling;motion synchronization;time delay","Distributed control;Motion control;Control systems;Communication system control;Delay effects;Interconnected systems;Force control;Oscillators;Control engineering;Teleoperators","","15","","45","IEEE","2 Feb 2009","","","IEEE","IEEE Journals"
"Inferring User Intent using Bayesian Theory of Mind in Shared Avatar-Agent Virtual Environments","S. Narang; A. Best; D. Manocha","University of North Carolina, Chapel Hill; University of North Carolina, Chapel Hill; University of Maryland, College Park",IEEE Transactions on Visualization and Computer Graphics,"27 Mar 2019","2019","25","5","2113","2122","We present a real-time algorithm to infer the intention of a user's avatar in a virtual environment shared with multiple human-like agents. Our algorithm applies the Bayesian Theory of Mind approach to make inferences about the avatar's hidden intentions based on the observed proxemics and gaze-based cues. Our approach accounts for the potential irrationality in human behavior, as well as the dynamic nature of an individual's intentions. The inferred intent is used to guide the response of the virtual agent and generate locomotion and gaze-based behaviors. Our overall approach allows the user to actively interact with tens of virtual agents from a first-person perspective in an immersive setting. We systematically evaluate our inference algorithm in controlled multi-agent simulation environments and highlight its ability to reliably and efficiently infer the hidden intent of a user's avatar even under noisy conditions. We quantitatively demonstrate the performance benefits of our approach in terms of reducing false inferences, as compared to a prior method. The results of our user evaluation show that 68.18% of participants reported feeling more comfortable in sharing the virtual environment with agents simulated with our algorithm as compared to a prior inference method, likely as a direct result of significantly fewer false inferences and more plausible responses from the virtual agents.","1941-0506","","10.1109/TVCG.2019.2898800","ARO(grant numbers:W911NF-19-1-0069); Intel; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8642370","multi-agent simulation;virtual reality;avatars;human agents;interactive navigation","Avatars;Virtual environments;Computational modeling;Inference algorithms;Two dimensional displays;Bayes methods;Heuristic algorithms","Adult;Algorithms;Bayes Theorem;Computer Graphics;Cues;Female;Humans;Image Processing, Computer-Assisted;Intention;Male;Virtual Reality","14","","59","IEEE","14 Feb 2019","","","IEEE","IEEE Journals"
"Collaborative Software Modeling in Virtual Reality","E. Yigitbas; S. Gorissen; N. Weidmann; G. Engels","Paderborn University, Germany; Paderborn University, Germany; Paderborn University, Germany; Paderborn University, Germany",2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS),"11 Nov 2021","2021","","","261","272","Modeling is a key activity in conceptual design and system design. Through collaborative modeling, end-users, stakeholders, experts, and entrepreneurs are able to create a shared understanding of a system representation. While the Unified Modeling Language (UML) is one of the major conceptual modeling languages in object-oriented software engineering, more and more concerns arise from the modeling quality of UML and its tool-support. Among them, the limitation of the two-dimensional presentation of its notations and lack of natural collaborative modeling tools are reported to be significant. In this paper, we explore the potential of using Virtual Reality (VR) technology for collaborative UML software design by comparing it with classical collaborative software design using conventional devices (Desktop PC / Laptop). For this purpose, we have developed a VR modeling environment that offers a natural collaborative modeling experience for UML Class Diagrams. Based on a user study with 24 participants, we have compared collaborative VR modeling with conventional modeling with regard to efficiency, effectiveness, and user satisfaction. Results show that the use of VR has some disadvantages concerning efficiency and effectiveness, but the user's fun, the feeling of being in the same room with a remote collaborator, and the naturalness of collaboration were increased.","","978-1-6654-3495-9","10.1109/MODELS50736.2021.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592501","Collaborative Modeling;Virtual Reality;UML","Solid modeling;Object oriented modeling;Collaborative software;Unified modeling language;Collaboration;Virtual reality;Tools","","13","","59","IEEE","11 Nov 2021","","","IEEE","IEEE Conferences"
"Augmented reality maintenance demonstrator and associated modelling","V. Havard; D. Baudry; A. Louis; B. Mazari","LUSINE and IRISE laboratories, CESI; LUSINE and IRISE laboratories, CESI; LUSINE and IRISE laboratories, CESI; LUSINE and IRISE laboratories, CESI",2015 IEEE Virtual Reality (VR),"27 Aug 2015","2015","","","329","330","Augmented reality allows to add virtual object in real scene. It has an increasing interest last years since mobile device becomes performant and cheap. The augmented reality is used in different domains, like maintenance, training, education, entertainment or medicine. The demonstrator we show is focused on maintenance operations. A step by step process is presented to the operator in order to maintain an element of a system. Based on this demonstration, we will explain the modelling we propose allowing describing an entire maintenance process with augmented reality. Indeed it is still difficult creating augmented reality application without computer programming skills. The proposed model will allow to create an authoring tool - or to plug to an existing one - in order to create augmented reality process without deep computer programming skills.","2375-5334","978-1-4799-1727-3","10.1109/VR.2015.7223429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7223429","Augmented Reality;modelling;maintenance;training","Maintenance engineering;Augmented reality;Unified modeling language;Animation;Training;Computational modeling;Laboratories","","13","","5","IEEE","27 Aug 2015","","","IEEE","IEEE Conferences"
"Effects of an in-car augmented reality system on improving safety of younger and older drivers","Wai-Tat Fu; J. Gasper; S. -W. Kim","Beckman Institute of Science and Technology, University of Illinois at Urbana-Champaign; Beckman Institute of Science and Technology, University of Illinois at Urbana-Champaign; Beckman Institute of Science and Technology, University of Illinois at Urbana-Champaign",2013 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"23 Dec 2013","2013","","","59","66","We designed and tested the effects of an in-car augmented reality system (ARS) on younger and older drivers, with and without a secondary distraction task. When potential danger is detected, the ARS alerts the driver by progressively indicating the time to collision to the lead vehicle as well as merging vehicles from side lanes by an AR display that overlaps with the lead or merging vehicles. We tested the ARS with younger (18–30) and older (65–75) drivers in a high-fidelity driving simulator. Results showed that the ARS could significantly reduce collisions caused by hazard events such as sudden slowing of the lead vehicle or merging of vehicles from sides lanes. Consistent with previous results, older drivers, despite age-related decline in cognitive and motor abilities, could leverage their driving experience to avoid forward collisions with the lead vehicle as much as younger drivers. However, older drivers were poorer in avoiding collisions caused by sudden merging events than younger drivers. The ARS was found to be most useful in helping older adults to avoid collision caused by sudden hazard events, especially with the presence of a distraction task. The ARS was also more effective for older than younger drivers to encourage a safe driving distance with the lead vehicle. Interestingly, there seemed to be differential effects of the ARS on the general driving behavior of younger and older drivers. While older drivers in general became more careful and safer in how they drive with the ARS, younger drivers seemed to rely on the ARS to alert them to potential hazard events without adopting safer driving behavior.","","978-1-4799-2869-9","10.1109/ISMAR.2013.6671764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671764","","Vehicles;Augmented reality;Merging;Hazards;Visualization;Accidents;Analysis of variance","","13","","30","IEEE","23 Dec 2013","","","IEEE","IEEE Conferences"
"When Holographic Communication Meets Metaverse: Applications, Challenges, and Future Trends","A. V. Shvetsov; S. Hamood Alsamhi","Department of Road Transport and Car Service Operations, North-Eastern Federal University, Yakutsk, Russia; ICT, Bahrain Polytechnic, Isa Town, Bahrain",IEEE Access,"31 Dec 2024","2024","12","","197488","197515","Holographic communication represents a transformative technology for reshaping the digital interaction landscape by enabling the creation of realistic, immersive, and interactive 3D experiences. This survey overviews holographic communication and its integration with the Metaverse technologies’ concepts, advantages, uses, and many applications. Furthermore, we examine a new paradigm for integrating holographic communication with the Metaverse, emphasizing how holography enhances immersive quality of virtual environments within the Metaverse, making interactions more lifelike and engaging. Extending the integration of holographic communication and Metaverse, we examine this combination’s numerous uses in various applications across various industries, such as education where virtual classrooms and 3D simulations redefine remote learning, a business where virtual meetings and product demonstrations create more impactful customer engagements, entertainment where immersive gaming and 3D broadcasting transform user experiences, healthcare where remote consultations and surgical simulations enhance medical training and accessibility, and remote assistance where real-time holographic support improves technical troubleshooting. In addition, we discuss the challenges and prospects of integration of holographic communication into Metaverse ecosystems, emphasizing key approaches and technical developments emerging technologies such as AI-driven content optimization, advanced coding and compression techniques, and new paradigms like terahertz communication and quantum holography. This survey highlights the revolutionary potential of holographic communication and offers insightful information on how it will influence digital engagement and connectivity in the future, eventually opening up new avenues in the quickly changing Metaverse landscape.","2169-3536","","10.1109/ACCESS.2024.3514576","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10788695","Extended reality;digital interaction;immersive communications;holographic communication;Metaverse;connectivity;virtual environments;interaction;immersive experiences","Metaverse;Surveys;Three-dimensional displays;Medical services;Education;Entertainment industry;Ecosystems;Business;Avatars;6G mobile communication","","12","","162","CCBY","11 Dec 2024","","","IEEE","IEEE Journals"
"Evaluating the user Experience of a Photorealistic Social VR Movie","J. Li; S. Subramanyam; J. Jansen; Y. Mei; I. Reimat; K. Ławicka; P. Cesar","Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Centrum Wiskunde & Informatica, Amsterdam, The Netherlands",2021 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),"1 Nov 2021","2021","","","284","293","We all enjoy watching movies together. However, this is not always possible if we live apart. While we can remotely share our screens, the experience differs from being together. We present a social Virtual Reality (VR) system that captures, reconstructs, and transmits multiple users’ volumetric representations into a commercially produced 3D virtual movie, so they have the feeling of “being there” together. We conducted a 48-user experiment where we invited users to experience the virtual movie either using a Head Mounted Display (HMD) or using a 2D screen with a game controller. In addition, we invited 14 VR experts to experience both the HMD and the screen version of the movie and discussed their experiences in two focus groups. Our results showed that both end-users and VR experts found that the way they navigated and interacted inside a 3D virtual movie was novel. They also found that the photorealistic volumetric representations enhanced feelings of co-presence. Our study lays the groundwork for future interactive and immersive VR movie co-watching experiences.","1554-7868","978-1-6654-0158-6","10.1109/ISMAR52148.2021.00044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583789","Human-centered computing [Human computer interaction (HCI)]: HCI design and evaluation methods;User studies;Human-centered computing [Human computer interaction (HCI)]: Interaction paradigms;Virtual reality.","Human computer interaction;Three-dimensional displays;Navigation;Two dimensional displays;Virtual environments;Resists;Games","","12","","58","IEEE","1 Nov 2021","","","IEEE","IEEE Conferences"
"On the Way to Holographic-Type Communications: Perspectives and Enabling Technologies","R. Petkova; I. Bozhilov; A. Manolova; K. Tonchev; V. Poulkov","Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria; Faculty of Telecommunications, Technical University of Sofia, Sofia, Bulgaria",IEEE Access,"2 May 2024","2024","12","","59236","59259","Holographic-type communication (HTC) is on the verge of revolutionizing current communication paradigms. It will seamlessly connect people from distant locations through a fully immersive experience that will engage all five senses: sight, hearing, touch, smell, and taste. However, the practical realization and widespread adoption of HTC impose significant demands on current networks and end-user devices. While recent studies have primarily focused on discussing the HTC challenges and potential research directions, this paper takes a further step by evaluating the capabilities of wireless networks to meet HTC requirements. Specifically, it highlights the limitations of the fifth-generation (5G) networks by identifying HTC-related Key Performance Indicators (KPIs) and explores the potential of the sixth-generation (6G) networks. Moreover, it not only proposes potential research approaches for HTC enhancement but also analyzes their impact on the challenges in HTC implementation. Finally, the paper questions the ubiquitous potential of 6G, suggesting that a coordinated approach leveraging artificial intelligence (AI) for jointly optimizing user sites and communication networks is the most promising strategy, rather than solely relying on the capabilities of specific network generations.","2169-3536","","10.1109/ACCESS.2024.3393124","European Union-Next Generation EU, through the National Recovery and Resilience Plan of the Republic of Bulgaria(grant numbers:BG-RRP-2.004-0005); “Improving the research capacity and quality to achieve international recognition and resilience of TU-Sofia” (IDEAS); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10507796","5G;6G;AI;communication network;HTC;KPIs;user site","6G mobile communication;5G mobile communication;Optimization;Artificial intelligence;Three-dimensional displays;Communication networks;Telepresence;Web sites;Holography","","12","","120","CCBYNCND","24 Apr 2024","","","IEEE","IEEE Journals"
